Titulo,Autor,Edad,Link,Fecha,Respuestas,Imagen,JuegosRecientes
Fortnite... why is it so popular?,numenume,24,https://gamehag.com/forum/t/38326-fortnite-why-is-it-so-popular,3 years ago,52,https://gamehag.com/img/rank/4.png,War ThunderBig Bang EmpireRail NationNeverwinterCrossoutGame of Thrones Winter is Coming|
Fortnite new season is coming out in a couple of days.,snud,20,https://gamehag.com/forum/t/142800-fortnite-new-season-is-coming-out-in-a-couple-of-days,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsStar StableCrossoutPokemon MegaGame of Thrones Winter is Coming|
Ali-a Fortnite Youtuber,snud,20,https://gamehag.com/forum/t/142745-ali-a-fortnite-youtuber,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsStar StableCrossoutPokemon MegaGame of Thrones Winter is Coming|
Gamrhag is thr best,Guildsman,20,https://gamehag.com/forum/t/143289-gamrhag-is-thr-best,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictMy Sunny ResortWorld of WarshipsNeverwinter|
This game is trash never play it,Ineedrobuxplsandfast,13,https://gamehag.com/forum/t/143210-this-game-is-trash-never-play-it,3 years ago,2,https://gamehag.com/img/rank/2.png,Lineage 2League of Angels IIRobloxStar Trek OnlineDragon AwakenLords Mobile|
Fortnite vs Pubg,awdhahsd1,21,https://gamehag.com/forum/t/141376-fortnite-vs-pubg21,3 years ago,17,https://gamehag.com/img/rank/2.png,War ThunderSoul CaliburGame of Thrones Winter is ComingSaint Seiya Awakening: Knights of the Zodiac|
Forknife or Players known ground or Minecraft HungerGames?,emre_ulusoy,92,https://gamehag.com/forum/t/142947-forknife-or-players-known-ground-or-minecraft-hungergames,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderCrossoutLineage 2 ClassicGame of Thrones Winter is ComingWorld of Warships - Free Premium Bonus!Lineage 2 Essence|
Robloz or rpbloz pr fortniye or gta ,Raimondsgudrais,"",https://gamehag.com/forum/t/142833-robloz-or-rpbloz-pr-fortniye-or-gta-,3 years ago,4,https://gamehag.com/img/rank/1.png,Saint Seiya Awakening: Knights of the Zodiac|
game is destroyed,snud,20,https://gamehag.com/forum/t/142571-game-is-destroyed,3 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsStar StableCrossoutPokemon MegaGame of Thrones Winter is Coming|
Fortnite sucks,odin1,19,https://gamehag.com/forum/t/142500-fortnite-sucks6,3 years ago,3,https://gamehag.com/img/rank/3.png,War ThunderStar ConflictWorld of WarshipsNeverwinterPokemon MegaSecond Life|
gameplay is fun but updates sucks,Josevaldo528,24,https://gamehag.com/forum/t/142373-gameplay-is-fun-but-updates-sucks,3 years ago,2,https://gamehag.com/img/rank/3.png,War ThunderWorld of WarshipsStar StableNeverwinterSoul CaliburGame of Thrones Winter is Coming|
Do you think Fortnite is on the brink of dying because of the new updates?,cluemaster,23,https://gamehag.com/forum/t/135679-do-you-think-fortnite-is-on-the-brink-of-dying-because-of-the-new-updates,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictCrossFireRobloxCrossoutFinal Fantasy XV|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
Just i hate tgis game?,KeVxdlul,22,https://gamehag.com/forum/t/141879-just-i-hate-tgis-game,3 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsGame of Thrones Winter is Coming|
what day will season 10 end,snud,20,https://gamehag.com/forum/t/140564-what-day-will-season-10-end,3 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsStar StableCrossoutPokemon MegaGame of Thrones Winter is Coming|
Is fortnite dead?,CringerBread,23,https://gamehag.com/forum/t/140658-is-fortnite-dead4,3 years ago,6,https://gamehag.com/img/rank/2.png,War ThunderAionStar ConflictWorld of WarshipsCrossoutSoul Calibur|
ROBLOX OR MINECRAFT?,ugnius_martisius,15,https://gamehag.com/forum/t/140651-roblox-or-minecraft15,3 years ago,11,https://gamehag.com/img/rank/2.png,NeverwinterCrossoutMagic: The Gathering Arena|
Im the only one who dont like fortnite?let me know,firefox22222,25,https://gamehag.com/forum/t/141605-im-the-only-one-who-dont-like-fortnitelet-me-know,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsCrossoutLords MobileSoul Calibur|
Hi i am bart ,ImJustCow,22,https://gamehag.com/forum/t/36705-hi-i-am-bart--,3 years ago,4,https://gamehag.com/img/rank/1.png,Forge of EmpiresWar ThunderStar ConflictNaruto OnlineRobloxCrossout|
"The Fornite ""crossover""",snud,20,https://gamehag.com/forum/t/139470-the-fornite-crossover,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsStar StableCrossoutPokemon MegaGame of Thrones Winter is Coming|
Fortnite vs Pubg,suedezul123,"",https://gamehag.com/forum/t/140601-fortnite-vs-pubg20,3 years ago,16,https://gamehag.com/img/rank/2.png,War ThunderNaruto OnlineCrossoutLeague of Angels III|
FORTNITE IS THE BEST,suedezul123,"",https://gamehag.com/forum/t/141086-fortnite-is-the-best5,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderNaruto OnlineCrossoutLeague of Angels III|
how do you feel about the new machmaking thing??? is it good? is it bad? and why?,Progamersvk,23,https://gamehag.com/forum/t/140714-how-do-you-feel-about-the-new-machmaking-thing-is-it-good-is-it-bad-and-why,3 years ago,4,https://gamehag.com/img/rank/1.png,World of TanksStar ConflictRobloxSoul CaliburLeague of Angels IIIGame of Thrones Winter is Coming|
Fornite or PUBG is better?,draculaaa13,17,https://gamehag.com/forum/t/140666-fornite-or-pubg-is-better,3 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderLineage 2 Classic|
Fornite Did you like kill a enemy,PrototypeBlazeYT,3,https://gamehag.com/forum/t/140288-fornite-did-you-like-kill-a-enemy,3 years ago,1,https://gamehag.com/img/rank/2.png,WarTuneRobloxSoul CaliburGame of Thrones Winter is ComingOne Piece H5|
Are VBUCKS WORTH IT:?,CowPark,23,https://gamehag.com/forum/t/140287-are-vbucks-worth-it,3 years ago,1,https://gamehag.com/img/rank/3.png,War ThunderCrossoutGame of Thrones Winter is Coming|
who likes fortnite,Furkan0697,25,https://gamehag.com/forum/t/139644-who-likes-fortnite1,3 years ago,5,https://gamehag.com/img/rank/2.png,IkariamAionStar ConflictLords MobileF: Battle RoyaleLeague of Angels III|
who have low pc ,Furkan0697,25,https://gamehag.com/forum/t/140012-who-have-low-pc-,3 years ago,2,https://gamehag.com/img/rank/2.png,IkariamAionStar ConflictLords MobileF: Battle RoyaleLeague of Angels III|
Fortnite sucks,EzBucks77,38,https://gamehag.com/forum/t/139550-fortnite-sucks5,3 years ago,3,https://gamehag.com/img/rank/1.png,CrossoutGame of Thrones Winter is Coming|
who is your fav streamer,zw1122,20,https://gamehag.com/forum/t/139196-who-is-your-fav-streamer,3 years ago,1,https://gamehag.com/img/rank/3.png,World of WarshipsWarTuneRobloxSoul CaliburLeague of Angels III|
FORTNITE is game,tuananhltv1,19,https://gamehag.com/forum/t/138451-fortnite-is-game1,3 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsWarTuneCrossoutSoul Calibur|
Vault the brute or mechs,thaurin,38,https://gamehag.com/forum/t/132671-vault-the-brute-or-mechs,3 years ago,11,https://gamehag.com/img/rank/3.png,War ThunderWorld of WarshipsRail NationStar StableNeverwinterCrossout|
Fortnite Rift Beacon ,marin_andrei_alin,32,https://gamehag.com/forum/t/136876-fortnite-rift-beacon-,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictGrand Prix Racing OnlineWarTuneRail NationRoblox||
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
Jugarias a Fortnite en la temporada X,darkvan2601,43,https://gamehag.com/forum/t/136457-jugarias-a-fortnite-en-la-temporada-x,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsVikings: War of ClansFinal Fantasy XIVSoul CaliburSecond Life|
Fortnite Mobile,Lowopsya,20,https://gamehag.com/forum/t/36307-fortnite-mobile,4 years ago,8,https://gamehag.com/img/rank/2.png,RobloxCrossoutLords MobileMy LegendAdventure with MistyCastle Clash: Brave Squads|
Combat czy wolna?,theelo1,23,https://gamehag.com/forum/t/135840-combat-czy-wolna,3 years ago,2,https://gamehag.com/img/rank/1.png,Rail Nation|
Most og/op skin,villarino_gj,11,https://gamehag.com/forum/t/135530-most-ogop-skin,3 years ago,3,https://gamehag.com/img/rank/2.png,Soul CaliburDarkmoon Realm|
Fortnite for kids?,KillerMan201033,13,https://gamehag.com/forum/t/133923-fortnite-for-kids,3 years ago,33,https://gamehag.com/img/rank/2.png,World of WarshipsVikings: War of ClansSoul CaliburEternal Magic|
Is this game good,Hellotamday,14,https://gamehag.com/forum/t/133739-is-this-game-good26,3 years ago,24,https://gamehag.com/img/rank/4.png,War ThunderRobloxSoul CaliburLeague of Angels IIIGame of Thrones Winter is Coming|
Gamehag is coooiol,Wex_King,"",https://gamehag.com/forum/t/134449-gamehag-is-coooiol,3 years ago,4,https://gamehag.com/img/rank/1.png,Star ConflictNeverwinterLords Mobile|
Scar zwykły czy z tłumikiem?,theelo1,23,https://gamehag.com/forum/t/133838-scar-zwykly-czy-z-tlumikiem,3 years ago,4,https://gamehag.com/img/rank/1.png,Rail Nation|
twitch prime loot for Fortnite . for 500 gems,andrei_nastase,21,https://gamehag.com/forum/t/34463-twitch-prime-loot-for-fortnite--for-500-gems,3 years ago,9,https://gamehag.com/img/rank/1.png,War ThunderAionStar ConflictWorld of WarshipsCrossoutWorld of Warships - Free Premium Bonus!|
Fortnite is bad..,Naff,26,https://gamehag.com/forum/t/133706-fortnite-is-bad5,3 years ago,1,https://gamehag.com/img/rank/3.png,War ThunderWorld of WarshipsCrossoutMagic: The Gathering Arena|
Fortniteasd,Jack1231565,27,https://gamehag.com/forum/t/132704-fortniteasd,3 years ago,2,https://gamehag.com/img/rank/3.png,RobloxCrossoutSoul CaliburGame of Thrones Winter is Coming|
What are some bad additions to the game that kind of ruined it.,Bossleo130,26,https://gamehag.com/forum/t/132638-what-are-some-bad-additions-to-the-game-that-kind-of-ruined-it,3 years ago,3,https://gamehag.com/img/rank/2.png,|
Fortnite graphix,smallwill50,"",https://gamehag.com/forum/t/132664-fortnite-graphix,3 years ago,4,https://gamehag.com/img/rank/1.png,War ThunderCrossoutGame of Thrones Winter is ComingRaid: Shadow Legends|
Fortnite or PUBG,EzBucks77,38,https://gamehag.com/forum/t/132690-fortnite-or-pubg17,3 years ago,3,https://gamehag.com/img/rank/1.png,CrossoutGame of Thrones Winter is Coming|
Fortnite OR PUBG?,MemoTR_PVO,20,https://gamehag.com/forum/t/132689-fortnite-or-pubg16,3 years ago,1,https://gamehag.com/img/rank/2.png,Metin 2War ThunderStar ConflictLeague of Angels IIRevelation OnlineSkyforge||
fortnite is bad,blazinlazer1,22,https://gamehag.com/forum/t/132669-fortnite-is-bad4,3 years ago,1,https://gamehag.com/img/rank/2.png,Forge of EmpiresStar StableVikings: War of ClansEternal Magic|
why is it so bad now,Matchaxx,22,https://gamehag.com/forum/t/132620-why-is-it-so-bad-now,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderLords MobileSoul CaliburGame of Thrones Winter is Coming|
Fortnite plz vault the B.R.U.T.E or i'll leave this game!,tergel48,24,https://gamehag.com/forum/t/132597-fortnite-plz-vault-the-brute-or-ill-leave-this-game,3 years ago,2,https://gamehag.com/img/rank/2.png,World of TanksWar ThunderStar ConflictWorld of WarshipsRobloxCrossout|
Fortnite is greatest game of ur mind???,tergel48,24,https://gamehag.com/forum/t/132593-fortnite-is-greatest-game-of-ur-mind,3 years ago,5,https://gamehag.com/img/rank/2.png,World of TanksWar ThunderStar ConflictWorld of WarshipsRobloxCrossout|
Who like this game too?,FreddyStudio,39,https://gamehag.com/forum/t/127093-who-like-this-game-too10,3 years ago,18,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
xSneakyTimeYTx,TheBe1ka,28,https://gamehag.com/forum/t/35634-xsneakytimeytx,3 years ago,5,https://gamehag.com/img/rank/2.png,Forge of EmpiresWar ThunderMy Little FarmiesWorld of WarshipsVikings: War of Clans|
WHAT IS THIS GOOD AT THIS GAME?,lolkekcheb88887,20,https://gamehag.com/forum/t/130972-what-is-this-good-at-this-game1,3 years ago,1,https://gamehag.com/img/rank/2.png,World of WarshipsWarface|
Fortnite is bad,Abidino017,"",https://gamehag.com/forum/t/128753-fortnite-is-bad3,3 years ago,10,https://gamehag.com/img/rank/1.png,|
this is very popular game,klarquaklarcz,"",https://gamehag.com/forum/t/129751-this-is-very-popular-game,3 years ago,1,https://gamehag.com/img/rank/3.png,War ThunderSoul CaliburLeague of Angels III|
how to get robux??,Anonymous11653,18,https://gamehag.com/forum/t/128214-how-to-get-robux8,3 years ago,15,https://gamehag.com/img/rank/2.png,Soul CaliburGame of Thrones Winter is Coming|
Fortnite bad or good?!?!?!,Lallllka,23,https://gamehag.com/forum/t/125548-fortnite-bad-or-good,3 years ago,25,https://gamehag.com/img/rank/1.png,|
WHO LOVES FORTNITE,DEsp1sE,43,https://gamehag.com/forum/t/123506-who-loves-fortnite,3 years ago,12,https://gamehag.com/img/rank/1.png,World of Warships|
I think minecraft is better yyeeeee,DEsp1sE,43,https://gamehag.com/forum/t/125788-i-think-minecraft-is-better-yyeeeee,3 years ago,19,https://gamehag.com/img/rank/1.png,World of Warships|
battle royale t,khukz08,3,https://gamehag.com/forum/t/128745-battle-royale-t,3 years ago,1,https://gamehag.com/img/rank/1.png,Soul Calibur|
Bad game ........,WinglessBlue,22,https://gamehag.com/forum/t/128296-bad-game-5,3 years ago,4,https://gamehag.com/img/rank/2.png,World of WarshipsCrossout|
Is fortnite worth playing?,Troll_Boss_,"",https://gamehag.com/forum/t/125853-is-fortnite-worth-playing,3 years ago,5,https://gamehag.com/img/rank/2.png,F: Battle Royale|
Fortnite : Good or bad?,Hanifkts123,16,https://gamehag.com/forum/t/120411-fortnite--good-or-bad1,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderArmored Warfare|
Write anything you like about Fortnite,GoblinGuy,24,https://gamehag.com/forum/t/127696-write-anything-you-like-about-fortnite,3 years ago,9,https://gamehag.com/img/rank/2.png,War ThunderAionWorld of WarshipsCrossoutLords MobileSoul Calibur|
Which season is the best?,dimos55ole,31,https://gamehag.com/forum/t/126838-which-season-is-the-best,3 years ago,15,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsFinal Fantasy XVF: Battle RoyaleDarkmoon RealmNext RP||
Who need robuxes?,Morthlog,32,https://gamehag.com/forum/t/125983-who-need-robuxes2,3 years ago,6,https://gamehag.com/img/rank/7.png,Forge of EmpiresWar ThunderStar ConflictDark Orbit ReloadedRobloxCrossout|
me best game fortnite ,alexandru_milos,"",https://gamehag.com/forum/t/128205-me-best-game-fortnite-,3 years ago,1,https://gamehag.com/img/rank/2.png,|
im good gaming,Caydel,22,https://gamehag.com/forum/t/128156-im-good-gaming,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderSoul Calibur|
Fortnite PS4 or Fortnite PC,Danielgerouhg9eh,21,https://gamehag.com/forum/t/127225-fortnite-ps4-or-fortnite-pc,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderRobloxCrossoutStar Trek OnlineHeavy Metal MachinesF: Battle Royale|
Dust Divot or Dusty Depot,FreddyStudio,39,https://gamehag.com/forum/t/127221-dust-divot-or-dusty-depot,3 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
"Do you guys who play fortnite think of ""fortnite is dead""?",FreddyStudio,39,https://gamehag.com/forum/t/127333-do-you-guys-who-play-fortnite-think-of-fortnite-is-dead,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
your favorite season battle pass,FreddyStudio,39,https://gamehag.com/forum/t/127244-your-favorite-season-battle-pass,3 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
What is your favourite lading spot?,FreddyStudio,39,https://gamehag.com/forum/t/127655-what-is-your-favourite-lading-spot,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
The best OG skin?? ,FreddyStudio,39,https://gamehag.com/forum/t/126770-the-best-og-skin-,3 years ago,10,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
what is your favorite weapon from season 1 to season X,FreddyStudio,39,https://gamehag.com/forum/t/127390-what-is-your-favorite-weapon-from-season-1-to-season-x,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictNaruto OnlineRobloxLords MobilePopTropica|
I love this game is the maximum,Mojkest,26,https://gamehag.com/forum/t/124938-i-love-this-game-is-the-maximum,3 years ago,10,https://gamehag.com/img/rank/1.png,Star ConflictCrossoutSoul Calibur|
Which gamemode of Fortnite,Danielgerouhg9eh,21,https://gamehag.com/forum/t/127219-which-gamemode-of-fortnite,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderRobloxCrossoutStar Trek OnlineHeavy Metal MachinesF: Battle Royale|
steam or epic games??,MakcopK74Youtuber,20,https://gamehag.com/forum/t/126841-steam-or-epic-games,3 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderSeafightWorld of WarshipsReborn|
Do you like new weapons of the season X?,RDN_0921,22,https://gamehag.com/forum/t/126835-do-you-like-new-weapons-of-the-season-x,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderCrossoutLeague of Angels III|
who love Ninja ?,Free_7111,27,https://gamehag.com/forum/t/125952-who-love-ninja-,3 years ago,6,https://gamehag.com/img/rank/2.png,World of Warships|
gaming waste of time?,18vswift,22,https://gamehag.com/forum/t/125963-gaming-waste-of-time,3 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderGame of Thrones Winter is Coming|
Fortnite ps4,Free_7111,27,https://gamehag.com/forum/t/35692-fortnite-ps43,3 years ago,10,https://gamehag.com/img/rank/2.png,World of Warships|
what is your favorite gun in this game,Loollllllk,26,https://gamehag.com/forum/t/124276-what-is-your-favorite-gun-in-this-game,3 years ago,3,https://gamehag.com/img/rank/2.png,|
what is the best skin for you,Loollllllk,26,https://gamehag.com/forum/t/126285-what-is-the-best-skin-for-you,3 years ago,2,https://gamehag.com/img/rank/2.png,|
Ninja is the best!,bluezonex9,28,https://gamehag.com/forum/t/125552-ninja-is-the-best,3 years ago,3,https://gamehag.com/img/rank/5.png,CrossoutLeague of Angels III|
Fortnite not opening Pls help,lucky_luke1,"",https://gamehag.com/forum/t/125342-fortnite-not-opening-pls-help,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsWarTuneCrossoutDragon AwakenLords Mobile|
so many kids in fortnite,lucky_luke1,"",https://gamehag.com/forum/t/123878-so-many-kids-in-fortnite,3 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsWarTuneCrossoutDragon AwakenLords Mobile|
Roblox TOP,bondowoso,23,https://gamehag.com/forum/t/123041-roblox-top17,3 years ago,19,https://gamehag.com/img/rank/3.png,|Armored Warfare|
Help fortnite won't open,VampricVampire,67,https://gamehag.com/forum/t/124742-help-fortnite-wont-open,3 years ago,1,https://gamehag.com/img/rank/2.png,Soul CaliburWorld of Warships - Free Premium Bonus!|
Fortnite Season X: Is It Good Or Bad? ,eperkaine,26,https://gamehag.com/forum/t/123825-fortnite-season-x-is-it-good-or-bad-,3 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderAionStar ConflictWorld of WarshipsCrossoutSoul Calibur|
Do you like the creative gamemode?,Hero_Crazy_YT,19,https://gamehag.com/forum/t/123696-do-you-like-the-creative-gamemode,3 years ago,10,https://gamehag.com/img/rank/2.png,War ThunderRobloxCrossoutSoul CaliburMagic NationsDarkmoon Realm|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
Fortnite is hard,KillerBeeBoi,20,https://gamehag.com/forum/t/124019-fortnite-is-hard1,3 years ago,3,https://gamehag.com/img/rank/2.png,World of TanksWar ThunderStar ConflictCrossoutStar Trek OnlineSoul Calibur|
Characters,Trueday,20,https://gamehag.com/forum/t/123668-characters2,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderRobloxCrossoutF: Battle Royale|
How is Season 10/x for you so far?,bluezonex9,28,https://gamehag.com/forum/t/121564-how-is-season-10x-for-you-so-far,3 years ago,12,https://gamehag.com/img/rank/5.png,CrossoutLeague of Angels III|
Siphon come back ,cekka,23,https://gamehag.com/forum/t/123213-siphon-come-back-,3 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderFinal Fantasy XIV|
Season 10 issues ,eperkaine,26,https://gamehag.com/forum/t/119772-season-10-issues-,3 years ago,26,https://gamehag.com/img/rank/2.png,War ThunderAionStar ConflictWorld of WarshipsCrossoutSoul Calibur|
THE BEST GAME FOR ME,arthuraberman,37,https://gamehag.com/forum/t/123130-the-best-game-for-me,3 years ago,1,https://gamehag.com/img/rank/5.png,|
Fortnight life,Petter70,"",https://gamehag.com/forum/t/121729-fortnight-life,3 years ago,6,https://gamehag.com/img/rank/1.png,|
WHO LIKES FORTNITE,OqmItsPotat0,15,https://gamehag.com/forum/t/122147-who-likes-fortnite,3 years ago,6,https://gamehag.com/img/rank/1.png,War Thunder|
Do u guys enjoy season X?,VladutInv2,20,https://gamehag.com/forum/t/120772-do-u-guys-enjoy-season-x,3 years ago,7,https://gamehag.com/img/rank/1.png,War ThunderWorld of WarshipsCrossout|
This game is for children why are you playing this?,wagreg17202,13,https://gamehag.com/forum/t/122158-this-game-is-for-children-why-are-you-playing-this,3 years ago,4,https://gamehag.com/img/rank/2.png,Star ConflictWorld of Warships|
Fortnite Noob or Pro,Petter70,"",https://gamehag.com/forum/t/120553-fortnite-noob-or-pro,3 years ago,12,https://gamehag.com/img/rank/1.png,|
Fortnite Rate Us,AsgeroFFFFFF,23,https://gamehag.com/forum/t/122044-fortnite-rate-us,3 years ago,1,https://gamehag.com/img/rank/2.png,|
Fortnite Story,72kerem,26,https://gamehag.com/forum/t/121692-fortnite-story,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderWarTuneRevelation OnlineCrossFireSkyforgeCrossout||
does ninja is the best fortnite player,Thrbox1ngcopt,"",https://gamehag.com/forum/t/35799-does-ninja-is-the-best-fortnite-player,3 years ago,8,https://gamehag.com/img/rank/4.png,War ThunderWorld of WarshipsNeverwinterCrossoutArmored WarfareStar Trek Online|
 Teach Fortnite Building Tactics,72kerem,26,https://gamehag.com/forum/t/121694--teach-fortnite-building-tactics,3 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderWarTuneRevelation OnlineCrossFireSkyforgeCrossout||
Is it free,Thrbox1ngcopt,"",https://gamehag.com/forum/t/120872-is-it-free1,3 years ago,10,https://gamehag.com/img/rank/4.png,War ThunderWorld of WarshipsNeverwinterCrossoutArmored WarfareStar Trek Online|
what is te best gun,Rapylilpump,23,https://gamehag.com/forum/t/121080-what-is-te-best--gun,3 years ago,6,https://gamehag.com/img/rank/2.png,CrossoutGame of Thrones Winter is Coming|
what is te best gun in roblox,cheftofu,14,https://gamehag.com/forum/t/121082-what-is-te-best--gun-in-roblox,3 years ago,7,https://gamehag.com/img/rank/1.png,|
Fortnite 2 comfirmed,Bl4nk1t0,"",https://gamehag.com/forum/t/120731-fortnite-2-comfirmed,3 years ago,1,https://gamehag.com/img/rank/3.png,Game of Thrones Winter is Coming|
tip for this game?,Pperic,32,https://gamehag.com/forum/t/120232-tip-for-this-game,3 years ago,8,https://gamehag.com/img/rank/3.png,War ThunderFinal Fantasy XVLords MobileLeague of Angels IIIGame of Thrones Winter is ComingGuardians of Ember|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
Who like this game too?,vikwor,19,https://gamehag.com/forum/t/118921-who-like-this-game-too2,3 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderCrossoutLords MobileLeague of Angels IIIGame of Thrones Winter is Coming|
Is Fortnite dying?,taha555,34,https://gamehag.com/forum/t/120006-is-fortnite-dying5,3 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderRevelation OnlineSkyforgeRobloxCrossoutWarface||
quick question,michaal,24,https://gamehag.com/forum/t/119861-quick-question1,3 years ago,1,https://gamehag.com/img/rank/2.png,World of TanksForge of EmpiresIkariamDesert OperationsWar ThunderTravian|
Who like fortnite?,VOL4OONOK,26,https://gamehag.com/forum/t/118098-who-like-fortnite1,3 years ago,2,https://gamehag.com/img/rank/2.png,AionSeafightWorld of WarshipsSoul CaliburGame of Thrones Winter is ComingConqueror's Blade|
why is this thing so cool?,Magrosu,24,https://gamehag.com/forum/t/119162-why-is-this-thing-so-cool,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderLords Mobile|
Hi Fortnite,Someonewhoplaygames,"",https://gamehag.com/forum/t/116325-hi-fortnite,3 years ago,11,https://gamehag.com/img/rank/2.png,Star ConflictSoul Calibur|
Favourite skin?,mati15873,27,https://gamehag.com/forum/t/116400-favourite-skin,3 years ago,2,https://gamehag.com/img/rank/2.png,|
Vbucks in fortnite,dddaaadddduuu,20,https://gamehag.com/forum/t/50503-vbucks-in-fortnite,3 years ago,33,https://gamehag.com/img/rank/1.png,|
Game modes of Fortnite,AlexWolfIsTheBest,26,https://gamehag.com/forum/t/55808-game-modes-of-fortnite,4 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderRail NationGrepolisRobloxLords MobileHeavy Metal Machines||
Air Strikes,gloin666,30,https://gamehag.com/forum/t/111367-air-strikes,3 years ago,6,https://gamehag.com/img/rank/2.png,War ThunderGame of Thrones Winter is ComingConqueror's Blade|
hoverboards cool or nah,hard_gangsta,59,https://gamehag.com/forum/t/111764-hoverboards-cool-or-nah,3 years ago,8,https://gamehag.com/img/rank/2.png,Star ConflictConqueror's Blade|
Stop playing fortnite XD but actually is good,SkinniLEGENDFOREVA,23,https://gamehag.com/forum/t/112435-stop-playing-fortnite-xd-but-actually-is-good,3 years ago,3,https://gamehag.com/img/rank/1.png,Game of Thrones Winter is Coming|
Stretched resolution,hard_gangsta,59,https://gamehag.com/forum/t/93164-stretched-resolution,3 years ago,10,https://gamehag.com/img/rank/2.png,Star ConflictConqueror's Blade|
Monsters/bosses,woodardmiles2009,"",https://gamehag.com/forum/t/103620-monstersbosses,3 years ago,3,https://gamehag.com/img/rank/1.png,TravianCSR Racing 2|
What the problem in a new mod,yonatan31,43,https://gamehag.com/forum/t/104429-what-the-problem-in-a-new-mod,3 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictVikings: War of ClansNaruto OnlineRobloxCrossout||
